Date,Daily Return
2024-01-02,0.0062344662717821195
2024-01-03,-0.006251609076040646
2024-01-04,0.0028259769666549015
2024-01-05,0.014235421813404052
2024-01-08,0.0202935975604392
2024-01-09,0.009686858844315633
2024-01-10,0.008997589524596384
2024-01-11,0.004058687427578045
2024-01-12,-0.007383335558312142
2024-01-16,-0.017448127528365935
2024-01-17,-0.02154375696743676
2024-01-18,0.02500088180257553
2024-01-19,0.022401250049277358
2024-01-22,0.018052899333695333
2024-01-23,0.016389172269601834
2024-01-24,-0.010606154871748074
2024-01-25,-0.0038233806175469744
2024-01-26,-0.0008454908551118233
2024-01-29,0.002564582107624977
2024-01-30,0.003536295718364951
2024-01-31,-0.03505280158837651
2024-02-01,0.01017551544753956
2024-02-02,0.0070198418738019975
2024-02-05,0.01949618536166965
2024-02-06,0.011185708336105967
2024-02-07,0.0073065954601317495
2024-02-08,0.0038837420154727844
2024-02-09,0.0016052913597108397
2024-02-12,-0.013014889426096372
2024-02-13,-0.04313575138119366
2024-02-14,0.02993514206063268
2024-02-15,0.006042038614866673
2024-02-16,-0.003392056777307387
2024-02-20,-0.020398361992135097
2024-02-21,0.002468310390156823
2024-02-22,0.023852220870778575
2024-02-23,0.017402695339216644
2024-02-26,0.004708030002007162
2024-02-27,0.010249889238435386
2024-02-28,-0.010201690372649957
2024-02-29,0.011147352808796269
2024-03-01,0.006058186787439411
2024-03-04,0.00034661949823628236
2024-03-05,-0.030055407711721313
2024-03-06,0.0015715051926954396
2024-03-07,0.009572127124618284
2024-03-08,-0.019439536724571733
2024-03-11,0.0038538029475897375
2024-03-12,0.03245227738648404
2024-03-13,-0.0012095360649416872
2024-03-14,-0.01354197475710351
2024-03-15,-0.016444299373771114
2024-03-18,0.014444589178912226
2024-03-19,0.01622840493001475
2024-03-20,0.01588067745259339
2024-03-21,0.0059184972300130815
2024-03-22,-0.0022439854140825274
2024-03-25,-0.00042885285925304
2024-03-26,0.0010351443948818711
2024-03-27,0.011858370510872962
2024-03-28,-0.008625319654245346
2024-04-01,-0.005804851002847855
2024-04-02,-0.016052837997637535
2024-04-03,0.0044206038842544565
2024-04-04,-0.031160651171317708
2024-04-05,-0.0037970594046469203
2024-04-08,0.019512148877947385
2024-04-09,0.00548200965262401
2024-04-10,-0.01480171046820435
2024-04-11,0.01757593529186175
2024-04-12,-0.0519234976954124
2024-04-15,-0.03601551857813248
2024-04-16,0.017027224145521498
2024-04-17,-0.0008569888605358495
2024-04-18,-0.004949758679146865
2024-04-19,-0.025303642475780125
2024-04-22,0.043184083215621574
2024-04-23,0.026708111193653107
2024-04-24,0.006594643820949146
2024-04-25,-0.013167672869263724
2024-04-26,0.02237685297085325
2024-04-29,0.010583150930609972
2024-04-30,-0.02526338840787396
2024-05-01,-0.006714257775819745
2024-05-02,0.02276232263498325
2024-05-03,0.02775362689595431
2024-05-06,0.020424075218956242
2024-05-07,-0.0005198384622395677
2024-05-08,0.00573162107952683
2024-05-09,0.003030662258803035
2024-05-10,0.008284766747991144
2024-05-13,-0.0039895865411313115
2024-05-14,0.011707803235989883
2024-05-15,0.028460718037752738
2024-05-16,-0.00088296534665165
2024-05-17,0.0061389718666315
2024-05-20,0.0029191811797318144
2024-05-21,0.009316953390214116
2024-05-22,-0.010630776209800376
2024-05-23,-0.01032610366521403
2024-05-24,0.018855032876156495
2024-05-28,-0.00904207663798878
2024-05-29,-0.02251937909378697
2024-05-30,-0.005710052918523761
2024-05-31,0.01619239355976929
